K,ARsize,FoldChange
8.95783460834142,(3.795560142217811+0j),2.55
9.11813465032094,(3.728832848372475+0j),2.56
9.28047845180070,(3.6636042178841493+0j),2.5700000000000007
9.44489177253622,(3.599829497132504+0j),2.58
9.61140077305643,(3.537465641357079+0j),2.59
9.78003202110947,(3.476471235126178+0j),2.6
9.95081249822328,(3.4168064171715318+0j),2.6100000000000008
10.1237696063824,(3.3584328093129567+0j),2.62
10.2989311748242,(3.301313449216276+0j),2.63
10.4763254669556,(3.2454127267468755+0j),2.64
10.6559811873936,(3.190696323696885+0j),2.650000000000001
10.8379274891317,(3.137131156680576+0j),2.66
11.0221939808342,(3.084685323005614+0j),2.67
11.2088107342610,(3.033328049342046+0j),2.6799999999999997
11.3978082918261,(2.983029643022078+0j),2.69
11.5892176742910,(2.9337614458156387+0j),2.7
11.7830703885967,(2.8854957900365448+0j),2.71
11.9793984358365,(2.8382059568441034+0j),2.7199999999999998
12.1782343193721,(2.7918661366135598+0j),2.73
12.3796110530964,(2.746451391257227+0j),2.74
12.5835621698448,(2.701937618385784+0j),2.75
12.7901217299588,(2.658301517206091+0j),2.76
12.9993243300041,(2.6155205560587245+0j),2.77
13.2112051116467,(2.5735729415044992+0j),2.7800000000000002
13.4257997706901,(2.5324375888746324+0j),2.79
13.6431445662749,(2.492094094205087+0j),2.8
13.8632763302478,(2.452522707479801+0j),2.81
14.0862324766983,(2.4137043071128716+0j),2.8200000000000003
14.3120510116707,(2.3756203756033907+0j),2.83
14.5407705430519,(2.3382529763009265+0j),2.84
14.7724302906401,(2.3015847312234468+0j),2.85
15.0070700963965,(2.2655987998726093+0j),2.8600000000000003
15.2447304348846,(2.2302788589949425+0j),2.87
15.4854524239007,(2.195609083240178+0j),2.88
15.7292778352978,(2.1615741266710353+0j),2.89
15.9762491060094,(2.128159105081246+0j),2.9000000000000004
16.2264093492738,(2.0953495790811956+0j),2.91
16.4798023660653,(2.0631315379128408+0j),2.92
16.7364726567359,(2.0314913839575475+0j),2.9299999999999997
16.9964654328695,(2.0004159179029877+0j),2.94
17.2598266293565,(1.969892324536491+0j),2.95
17.5266029166891,(1.9399081591347447+0j),2.96
17.7968417134841,(1.9104513344207157+0j),2.9699999999999998
18.0705911992375,(1.881510108060803+0j),2.98
18.3479003273142,(1.853073070676369+0j),2.99
18.6288188381781,(1.8251291343453282+0j),3.0
18.9133972728680,(1.797667521570773+0j),3.0100000000000002
19.2016869867222,(1.770677754694718+0j),3.02
19.4937401633590,(1.7441496457363996+0j),3.0300000000000002
19.7896098289169,(1.7180732866354265+0j),3.04
20.0893498665582,(1.692439039881435+0j),3.05
20.3930150312451,(1.66723752951229+0j),3.06
20.7006609647889,(1.6424596324645258+0j),3.07
21.0123442111819,(1.618096470259924+0j),3.08
21.3281222322140,(1.5941394010132992+0j),3.09
21.6480534233824,(1.5705800117472026+0j),3.1
21.9721971300990,(1.5474101109999845+0j),3.11
22.3006136642012,(1.524621721714303+0j),3.12
22.6333643207723,(1.5022070743939635+0j),3.13
22.9705113952777,(1.4801586005172576+0j),3.14
23.3121182010239,(1.4584689261959303+0j),3.15
23.6582490869453,(1.4371308660690936+0j),3.16
24.0089694557255,(1.4161374174222168+0j),3.17
24.3643457822621,(1.3954817545215148+0j),3.18
24.7244456324778,(1.3751572231547993+0j),3.19
25.0893376824893,(1.3551573353699855+0j),3.2
25.4590917381357,(1.3354757644032773+0j),3.21
25.8337787548802,(1.3161063397888375+0j),3.22
26.2134708580865,(1.2970430426427682+0j),3.23
26.5982413636805,(1.278280001114153+0j),3.24
26.9881647992052,(1.2598114859963094+0j),3.25
27.3833169252755,(1.2416319064918355+0j),3.2600000000000002
27.7837747574408,(1.2237358061252805+0j),3.27
28.1896165884654,(1.2061178587974144+0j),3.2800000000000002
28.6009220110327,(1.1887728649756348+0j),3.29
29.0177719408844,(1.1716957480148875+0j),3.3000000000000003
29.4402486404007,(1.1548815506042303+0j),3.31
29.8684357426317,(1.138325431333898+0j),3.32
30.3024182757908,(1.1220226613782582+0j),3.33
30.7422826882166,(1.105968621290182+0j),3.34
31.1881168738137,(1.0901587979025191+0j),3.35
31.6400101979829,(1.0745887813325516+0j),3.36
32.0980535240513,(1.0592542620855039+0j),3.37
32.5623392402103,(1.044151028253349+0j),3.38
33.0329612869721,(1.0292749628053874+0j),3.39
33.5100151851589,(1.0146220409669677+0j),3.4
33.9935980644301,(1.000188327683283+0j),3.41
34.4838086923636,(0.9859699751648744+0j),3.42
34.9807475040983,(0.9719632205119859+0j),3.43
35.4845166325529,(0.9581643834147358+0j),3.44
