IDENTIFIER	DTB-097-Progression-cfDNA	DTB-102-Progression-cfDNA	DTB-119-Progression-cfDNA	DTB-149-Baseline-cfDNA	DTB-156-Baseline-cfDNA	DTB-183-Baseline-cfDNA	DTB-205-Baseline-cfDNA	DTB-210-Baseline-cfDNA	DTB-214-Baseline-cfDNA	DTB-216-Progression-cfDNA	DTB-258-Baseline-cfDNA	DTB-261-Baseline-cfDNA	DTB-266-Baseline-cfDNA	GENE_ID
TMEM9	173.684	40.295	80.877	52.227	147.702	44.562	60.774	59.863	164.71	90.966	124.468	76.209	53.694	ENSG00000116857.17
TMEM91	0.95	7.11	4.775	5.889	15.095	4.276	1.235	6.946	5.054	5.615	4.869	2.789	5.117	ENSG00000142046.15
TMEM92	5.795	0.693	3.555	0.181	1.227	0.462	0.0	0.754	3.774	1.368	0.128	0.44	0.206	ENSG00000167105.8
TMEM97	80.935	101.045	52.142	106.622	92.391	243.046	254.608	129.738	125.902	138.526	62.692	177.292	84.706	ENSG00000109084.14
TMEM98	80.291	38.111	32.714	45.026	94.156	18.827	41.21	56.741	35.601	66.956	48.267	38.96	31.545	ENSG00000006042.12
TMEM99	2.133	10.739	13.737	4.973	7.33	2.323	2.429	26.811	4.089	4.96	2.975	12.842	11.799	
TMEM9B	120.352	118.535	181.701	107.407	99.281	30.854	40.066	59.031	89.662	99.867	152.031	119.36	127.659	ENSG00000175348.11
TMEM9B-AS1	2.036	1.397	6.111	5.463	18.528	9.909	0.0	8.132	4.086	4.945	11.887	4.946	4.8	
TMF1	23.641	87.029	95.128	40.54	76.735	47.54	44.497	38.599	63.499	83.256	84.975	65.098	90.56	ENSG00000144747.17
TMLHE	1.784	3.473	0.667	1.979	2.869	0.247	8.497	0.727	1.455	12.476	0.515	2.246	1.992	ENSG00000185973.12
TMOD1	18.124	4.223	5.437	1.129	11.063	0.976	20.329	1.36	1.581	20.719	13.293	7.471	0.585	ENSG00000136842.14
TMOD2	10.971	10.047	7.417	10.876	29.21	20.872	26.557	2.546	15.882	16.462	39.87	9.697	16.01	ENSG00000128872.10
TMOD3	56.906	114.623	49.825	74.776	50.552	75.8	36.648	27.728	62.883	77.002	78.812	71.442	78.572	ENSG00000138594.14
TMPO	37.301	17.436	31.568	14.793	41.263	33.662	54.916	18.637	20.265	67.835	6.546	24.895	27.745	ENSG00000120802.14
TMPO-AS1	23.641	14.614	7.364	5.828	42.649	18.214	28.682	15.622	6.073	24.845	4.256	7.987	8.819	
TMPPE	9.566	28.044	23.352	23.842	21.504	9.259	9.136	12.162	14.584	18.805	25.279	17.399	24.493	ENSG00000188167.9
TMPRSS11E	0.487	0.447	0.414	0.312	0.712	0.0	0.0	1.078	0.0	2.695	0.0	0.426	0.033	ENSG00000087128.10
TMPRSS13	0.47	1.762	2.051	0.851	3.598	0.163	0.0	0.491	1.009	4.189	1.168	0.129	0.241	ENSG00000137747.16
TMPRSS15	0.0	0.0	0.0	0.0	0.0	0.0	21.432	0.0	0.0	0.051	0.0	0.27	0.0	ENSG00000154646.9
TMPRSS2	21.842	155.426	181.306	449.37	164.637	261.077	0.0	349.223	320.077	35.45	330.142	204.616	488.067	ENSG00000184012.13
TMPRSS3	10.326	2.302	1.475	2.071	11.83	0.221	39.883	0.133	0.274	17.283	0.511	1.492	12.943	ENSG00000160183.17
TMPRSS4	0.628	1.359	0.726	3.413	0.096	0.435	0.0	0.328	1.077	4.351	0.151	0.086	0.0	ENSG00000137648.19
TMPRSS6	4.899	0.0	0.0	0.248	0.0	0.303	0.0	0.0	0.0	0.414	0.474	0.045	0.295	ENSG00000187045.19
TMSB10	3468.901	1569.34	4294.887	2712.595	1426.848	1575.044	1792.759	955.871	1423.311	1444.038	2132.429	872.407	518.452	ENSG00000034510.6
TMSB15A	35.951	8.16	47.415	42.072	4.66	10.232	29.839	22.041	2.407	172.338	30.632	91.207	12.759	ENSG00000158164.7
TMSB4X	2659.016	2634.537	787.946	1728.827	1206.838	250.35	718.554	167.188	476.569	2024.817	946.568	750.978	526.617	ENSG00000205542.11
TMSB4Y	0.555	0.0	8.51	1.392	0.435	4.234	0.0	3.867	4.84	8.515	13.477	9.727	3.551	ENSG00000154620.6
TMTC1	0.65	8.888	2.428	9.626	5.815	1.491	22.761	0.685	9.748	3.15	8.678	6.135	6.53	ENSG00000133687.16
TMTC2	6.822	44.647	68.165	44.683	23.048	92.717	18.392	65.923	65.281	24.127	60.353	41.923	27.958	ENSG00000179104.9
TMTC3	18.176	29.406	174.209	34.265	43.162	16.624	56.176	7.596	33.328	39.563	31.077	39.252	93.316	ENSG00000139324.12
TMTC4	23.316	17.229	34.245	14.024	37.742	20.577	14.555	14.949	29.959	12.88	31.685	22.028	21.813	ENSG00000125247.16
TMUB1	14.601	10.996	10.313	7.045	17.136	3.811	0.383	7.205	11.888	14.539	16.881	9.355	7.882	ENSG00000164897.14
TMUB2	28.461	33.208	43.979	48.533	51.526	6.985	2.316	24.443	28.253	51.203	42.829	51.837	37.491	ENSG00000168591.16
TMX1	41.731	63.83	64.55	70.463	29.439	67.989	87.45	41.048	75.716	69.741	37.51	41.63	52.763	ENSG00000139921.13
TMX2	170.076	162.377	149.337	198.939	160.147	147.934	111.019	146.765	124.561	159.797	221.423	198.236	165.554	ENSG00000213593.10
TMX3	10.613	43.908	22.752	39.71	30.685	13.52	7.731	24.687	17.95	25.044	29.281	25.664	27.47	ENSG00000166479.10
TMX4	47.592	50.903	50.752	58.679	41.952	51.328	65.053	49.701	58.216	72.438	98.902	119.307	46.586	ENSG00000125827.9
TNC	28.284	33.213	4.369	32.412	36.466	2.844	5.519	124.794	22.309	9.232	7.314	13.844	24.87	ENSG00000041982.16
TNF	0.41	1.421	0.191	0.161	0.025	0.171	0.034	0.034	0.259	0.474	0.264	0.396	0.137	ENSG00000232810.4
TNFAIP1	70.675	48.436	62.236	54.995	82.013	34.721	53.46	22.311	36.623	64.998	64.795	63.205	58.939	ENSG00000109079.10
TNFAIP2	8.313	25.849	9.318	10.056	30.124	6.164	2.14	4.252	22.466	34.363	20.135	8.875	11.672	ENSG00000185215.11
TNFAIP3	6.28	31.144	4.83	8.535	7.736	6.529	0.914	3.484	6.766	19.949	14.756	10.81	5.473	ENSG00000118503.15
TNFAIP6	8.161	18.864	14.315	17.014	13.263	0.583	2.292	0.712	5.29	4.549	8.109	17.417	4.351	ENSG00000123610.5
TNFAIP8	3.354	6.778	5.533	4.026	3.307	7.837	0.198	2.189	1.906	10.397	3.918	12.488	1.467	ENSG00000145779.8
TNFAIP8L1	4.657	6.85	3.282	5.272	5.563	6.771	4.639	3.56	4.716	3.42	4.21	7.264	3.729	ENSG00000185361.9
TNFAIP8L3	0.617	1.453	0.089	0.0	0.0	1.158	8.47	0.0	0.144	0.362	0.081	0.415	0.0	ENSG00000183578.8
TNFRSF10A	8.481	6.987	2.966	6.389	7.006	0.463	0.0	4.789	4.587	8.069	6.546	3.226	3.881	ENSG00000104689.10
TNFRSF10B	19.327	24.318	31.485	52.39	32.424	8.473	6.9	14.165	24.428	22.791	20.768	15.844	16.829	ENSG00000120889.13
TNFRSF10C	0.09	1.392	2.968	0.606	4.924	0.0	1.836	0.168	1.595	3.017	0.128	0.99	0.721	ENSG00000173535.15
TNFRSF10D	9.169	22.973	8.34	4.418	7.135	0.073	42.538	18.283	1.26	7.816	3.884	1.645	3.353	ENSG00000173530.6
