IDENTIFIER	DTB-097-Progression-cfDNA	DTB-102-Progression-cfDNA	DTB-119-Progression-cfDNA	DTB-149-Baseline-cfDNA	DTB-156-Baseline-cfDNA	DTB-183-Baseline-cfDNA	DTB-205-Baseline-cfDNA	DTB-210-Baseline-cfDNA	DTB-214-Baseline-cfDNA	DTB-216-Progression-cfDNA	DTB-258-Baseline-cfDNA	DTB-261-Baseline-cfDNA	DTB-266-Baseline-cfDNA	GENE_ID
CRELD1	15.782	33.051	22.344	59.803	33.544	7.184	11.245	21.179	34.826	24.095	55.716	27.256	29.701	ENSG00000163703.19
CRELD2	78.95	49.308	62.79	116.552	72.867	31.358	22.287	19.037	64.27	46.132	54.083	61.058	54.944	ENSG00000184164.15
CREM	4.199	7.915	4.894	5.151	10.507	4.714	8.35	2.4	7.013	3.208	10.535	8.272	9.688	ENSG00000095794.19
CRHBP	23.872	0.919	0.337	6.435	1.561	0.0	0.529	1.067	0.0	2.624	0.813	3.318	5.308	ENSG00000145708.11
CRHR1-IT1	1.1	4.753	2.254	4.472	7.376	4.558	4.81	4.676	2.474	4.784	4.385	1.703	2.249	
CRHR2	0.0	0.983	0.0	0.047	0.759	0.0	1.029	0.0	0.0	0.446	0.199	0.17	0.238	ENSG00000106113.19
CRIM1	14.424	60.238	20.875	20.258	21.086	49.123	26.476	7.754	56.491	43.279	39.291	47.362	16.352	ENSG00000150938.10
CRIP1	370.296	184.461	880.529	81.574	1390.635	6.228	64.257	7.552	43.153	995.981	50.775	250.061	69.384	ENSG00000213145.10
CRIP2	18.889	35.172	44.683	6.67	27.871	0.849	6.041	2.618	9.89	45.1	11.562	24.403	12.242	ENSG00000182809.11
CRIPAK	2.972	15.721	29.252	20.457	19.958	19.28	2.263	9.003	16.167	8.209	23.005	14.829	22.959	
CRIPT	6.69	18.367	13.768	10.337	31.953	26.644	18.496	6.843	16.147	18.928	18.555	19.209	17.053	ENSG00000119878.6
CRISP2	0.0	21.504	1.655	0.516	0.0	0.392	4.092	0.0	32.505	2.6	0.0	11.128	0.988	ENSG00000124490.14
CRISP3	54.491	9389.236	510.286	236.324	2.821	0.588	0.0	6.636	3784.6	13.864	1.063	1879.205	143.595	ENSG00000096006.12
CRISPLD1	6.042	155.766	41.355	56.495	66.785	12.727	6.017	18.062	4.801	102.092	6.11	2.836	4.029	ENSG00000121005.9
CRISPLD2	6.812	55.963	17.451	15.115	15.482	2.545	4.276	2.401	7.268	76.703	5.187	20.504	5.227	ENSG00000103196.12
CRK	15.992	20.463	23.452	17.682	22.997	17.729	20.204	9.674	26.867	38.558	48.061	17.239	20.015	ENSG00000167193.8
CRKL	59.153	64.297	48.706	37.561	56.087	124.086	98.244	63.987	58.091	54.148	46.707	55.754	87.645	ENSG00000099942.13
CRLF1	3.41	0.188	1.492	0.0	0.398	4.029	0.0	0.0	1.848	11.763	0.519	0.356	0.417	ENSG00000006016.11
CRLF3	18.639	57.047	19.219	27.59	57.413	21.949	69.799	26.304	30.692	49.71	40.054	29.12	33.963	ENSG00000176390.12
CRLS1	20.773	32.152	25.054	37.016	30.442	30.445	28.321	37.7	32.277	26.401	49.526	38.283	30.303	ENSG00000088766.12
CRMP1	2.236	3.249	4.354	4.594	7.781	3.985	38.946	2.452	6.174	11.696	18.181	5.442	7.936	ENSG00000072832.15
CRNDE	17.014	11.533	25.538	11.147	46.103	5.058	13.424	2.495	16.136	5.164	11.506	9.42	28.655	
CRNKL1	34.593	76.498	38.834	96.906	105.084	81.523	134.227	77.012	76.407	49.375	99.153	112.504	79.357	ENSG00000101343.15
CROCC	1.466	2.352	1.222	3.127	3.147	4.073	5.517	1.872	5.095	3.675	4.661	1.145	2.994	ENSG00000058453.17
CROCCP2	9.441	21.532	8.227	25.817	108.379	25.989	12.869	18.136	24.991	39.371	59.215	16.708	20.16	
CROCCP3	1.175	5.343	3.085	4.18	9.915	4.704	4.183	3.528	8.63	9.72	19.371	3.027	4.495	
CROT	15.242	39.41	106.829	40.312	45.979	73.035	10.516	22.459	18.659	128.223	42.517	13.903	58.074	ENSG00000005469.12
CRP	830.153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.0	0.0	ENSG00000132693.12
CRTAC1	0.041	0.0	0.195	0.11	0.785	0.0	1.823	0.0	1.568	20.527	1.289	0.302	0.094	ENSG00000095713.14
CRTAM	0.337	2.244	0.153	0.196	0.794	0.0	0.0	0.0	1.233	0.931	0.415	0.178	0.499	ENSG00000109943.9
CRTAP	84.621	64.018	62.558	53.254	59.092	51.815	54.364	135.246	65.168	42.518	62.337	23.152	54.209	ENSG00000170275.15
CRTC1	4.25	4.114	5.728	10.769	19.471	3.55	3.025	7.766	9.823	4.836	11.252	7.688	5.793	ENSG00000105662.16
CRTC2	65.687	54.151	29.921	23.219	69.415	28.82	26.595	24.661	33.538	53.85	72.868	40.826	25.656	ENSG00000160741.17
CRTC3	35.826	30.636	11.583	19.966	45.486	81.088	13.097	33.744	31.019	43.828	33.351	45.758	34.222	ENSG00000140577.16
CRY1	21.874	22.11	23.808	19.398	26.076	27.294	24.711	26.363	10.467	30.072	25.155	28.955	34.295	ENSG00000008405.12
CRY2	9.442	13.747	17.873	16.483	10.814	9.084	4.083	11.955	18.404	27.608	27.864	15.302	28.614	ENSG00000121671.12
CRYAB	16.002	20.93	117.255	30.635	20.421	2.13	6.076	4.176	20.095	39.934	158.926	26.308	16.17	ENSG00000109846.9
CRYBA2	0.337	16.435	37.592	8.786	1.377	3.054	127.055	1.891	8.391	40.58	21.291	0.407	6.322	ENSG00000163499.12
CRYBA4	0.0	6.283	0.577	0.0	0.0	0.0	0.0	0.353	0.0	0.0	0.0	0.0	0.0	ENSG00000196431.4
CRYBB2P1	14.738	21.455	16.729	19.157	24.0	28.373	55.129	10.554	35.355	25.149	21.139	24.724	25.101	
CRYBG3	8.067	19.361	19.959	13.533	21.42	25.55	63.809	12.986	12.069	23.361	15.361	18.875	25.669	ENSG00000080200.10
CRYL1	40.73	11.766	31.49	29.639	35.999	8.969	0.664	8.041	28.103	21.291	57.305	10.065	23.872	ENSG00000165475.15
CRYM	0.684	1.326	4.852	86.803	1.408	0.175	6.362	5.776	23.244	23.828	25.018	70.552	188.654	ENSG00000103316.12
CRYZ	40.17	43.772	49.68	24.387	18.133	27.12	107.106	10.197	15.027	28.569	28.394	29.634	8.04	ENSG00000116791.14
CRYZL1	22.017	37.817	34.414	39.725	46.275	53.633	30.084	34.235	34.678	35.931	29.487	14.647	40.501	ENSG00000205758.12
CS	157.026	303.781	393.757	274.84	220.645	374.14	253.272	441.313	501.473	229.159	191.182	286.274	178.402	ENSG00000062485.19
CSAD	5.49	13.916	14.696	13.047	20.915	16.079	1.233	16.209	23.74	29.62	21.274	11.067	34.807	ENSG00000139631.19
CSAG1	0.0	0.0	0.262	0.0	0.0	0.0	81.7	0.0	0.0	81.65	0.0	18.14	0.0	ENSG00000198930.13
CSAG3	0.0	0.0	3.763	0.0	0.0	0.0	11.373	0.0	0.0	10.588	0.0	2.919	0.0	ENSG00000268916.6
CSDE1	395.118	859.257	505.742	552.444	499.15	680.879	875.189	174.675	294.49	536.579	527.391	422.272	533.345	ENSG00000009307.16
CSE1L	248.663	408.921	192.465	254.149	226.932	495.663	863.787	223.136	214.806	234.024	271.095	376.144	225.622	ENSG00000124207.17
CSF1	6.59	23.289	7.393	9.597	16.944	4.328	1.898	5.449	12.263	8.96	17.176	22.872	11.195	ENSG00000184371.14
CSF1R	27.279	60.735	16.145	31.659	59.194	1.84	2.625	39.159	18.953	16.329	29.969	50.786	34.54	ENSG00000182578.14
CSF2RA	3.11	16.399	1.589	4.287	3.513	0.344	0.518	0.313	1.279	5.817	2.79	2.19	3.326	
CSF2RB	1.081	23.176	3.791	1.64	2.773	0.471	0.329	0.709	2.463	3.914	1.307	4.206	4.591	ENSG00000100368.14
CSF3R	3.618	7.179	5.219	6.549	4.398	0.074	0.199	0.733	5.108	33.809	3.937	7.853	2.375	ENSG00000119535.18
CSGALNACT1	17.843	33.523	72.726	167.499	8.866	5.287	5.821	2.389	30.131	7.154	281.158	22.513	27.592	ENSG00000147408.14
CSGALNACT2	13.279	38.281	11.779	32.378	18.298	51.607	15.148	26.679	9.594	29.338	27.262	18.496	20.545	ENSG00000169826.8
CSK	14.783	11.187	14.126	19.732	14.027	18.53	12.418	17.421	30.612	16.529	21.921	23.463	21.542	ENSG00000103653.16
CSMD1	0.0	0.086	0.0	14.894	0.046	0.017	10.092	5.517	0.0	0.054	0.036	6.436	0.0	ENSG00000183117.19
CSMD2	0.324	0.82	0.426	0.708	0.071	0.053	6.779	0.385	0.397	0.361	2.557	0.042	0.128	ENSG00000121904.17
CSMD3	0.009	2.405	0.229	0.097	0.0	0.0	18.384	0.017	0.0	0.0	0.039	0.111	0.762	ENSG00000164796.18
CSN1S1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSG00000126545.14
CSNK1A1	158.502	168.465	423.551	217.912	204.494	228.872	99.94	200.846	217.534	277.446	382.256	272.216	338.308	ENSG00000113712.19
CSNK1A1L	0.053	0.0	0.084	0.072	0.145	0.0	0.0	0.0	0.135	1.023	0.076	0.0	0.061	ENSG00000180138.7
CSNK1A1P1	0.0	0.0	0.123	0.105	1.714	0.0	33.843	0.586	0.0	0.501	0.112	0.383	0.179	
CSNK1D	50.716	64.586	123.564	106.682	118.281	118.518	25.908	48.667	150.146	118.102	160.993	72.249	103.355	ENSG00000141551.14
CSNK1G1	19.995	37.431	14.482	37.578	21.356	18.149	22.239	13.639	22.955	24.219	33.848	24.879	21.132	ENSG00000169118.18
CSNK1G2	16.132	24.941	29.388	28.549	27.077	13.49	16.741	17.018	33.099	16.097	30.788	29.994	20.893	ENSG00000133275.16
CSNK1G3	16.498	37.092	28.112	33.44	29.455	24.298	39.291	20.564	29.388	36.184	44.974	47.132	41.551	ENSG00000151292.17
CSNK2A1	70.081	159.44	106.209	170.574	149.816	106.909	276.122	146.455	112.945	140.273	234.373	247.38	126.217	ENSG00000101266.19
CSNK2A2	127.541	122.882	103.736	68.722	88.427	131.874	185.943	134.239	183.995	79.784	93.999	72.124	52.3	ENSG00000070770.10
CSNK2A3	3.821	5.918	11.404	7.081	11.778	5.082	9.584	2.687	15.971	10.072	12.785	8.647	10.401	ENSG00000254598.3
CSNK2B	19.99	22.417	19.649	26.872	17.627	15.456	23.545	14.799	12.631	32.856	28.251	26.901	15.618	ENSG00000204435.15
CSPG4	0.506	7.587	2.767	6.784	11.568	1.054	7.999	2.826	8.292	1.996	2.468	12.756	6.27	ENSG00000173546.7
CSPG5	1.61	7.079	0.855	2.512	1.879	5.045	1.911	0.825	1.75	19.992	4.768	6.681	2.361	ENSG00000114646.10
CSPP1	14.04	32.951	24.407	16.994	48.246	38.237	39.838	20.389	32.36	30.307	35.314	32.87	24.398	ENSG00000104218.16
CSRNP1	4.647	9.216	13.848	4.133	3.119	1.052	2.988	2.348	11.235	9.092	11.135	7.626	8.605	ENSG00000144655.15
CSRNP2	23.4	25.598	35.7	33.036	37.559	47.148	17.693	16.241	19.992	39.037	36.789	20.925	19.786	ENSG00000110925.7
CSRNP3	0.859	3.21	7.004	2.233	1.964	0.392	30.324	1.895	1.022	3.568	0.544	1.522	1.955	ENSG00000178662.16
CSRP1	145.603	61.106	124.218	33.437	78.009	44.421	24.75	21.121	76.371	59.322	103.808	55.309	110.444	ENSG00000159176.14
CSRP2	14.544	9.849	138.49	16.891	47.024	1.289	116.705	0.299	5.98	10.077	2.921	3.866	6.909	ENSG00000175183.10
CSRP2BP	24.641	28.819	13.474	23.685	33.779	23.323	24.504	15.758	30.965	31.196	37.754	18.812	25.424	
CST1	6.167	97.28	11.888	13.952	5.578	0.0	0.0	0.384	0.507	8.346	5.442	0.74	0.931	ENSG00000170373.8
CST2	6.046	3.561	219.485	40.102	0.0	0.0	0.0	0.434	0.57	0.361	250.731	0.278	2.099	ENSG00000170369.4
CST3	135.887	52.765	149.882	98.815	160.544	27.886	49.25	178.526	208.084	100.937	164.246	152.465	74.497	ENSG00000101439.9
CST7	3.483	37.806	1.221	1.906	16.391	1.278	0.878	2.073	5.925	16.475	3.339	7.469	2.702	ENSG00000077984.6
CSTA	19.129	36.291	162.226	4.908	1.5	0.0	0.0	15.47	16.421	82.506	2.831	2.879	1.043	ENSG00000121552.4
CSTB	717.868	547.19	581.254	370.016	463.122	108.777	122.466	161.607	182.099	527.278	594.402	177.111	227.73	ENSG00000160213.9
CSTF1	45.02	62.538	39.844	53.888	51.799	28.767	62.423	44.589	41.31	42.504	43.303	91.621	43.16	ENSG00000101138.12
CSTF2	35.661	20.254	22.641	18.81	12.122	32.533	23.321	16.636	20.154	49.38	21.449	22.327	25.602	ENSG00000101811.14
CSTF2T	13.438	17.518	9.998	18.903	18.11	7.506	9.427	11.226	12.302	15.481	19.346	14.271	20.626	ENSG00000177613.9
CSTF3	233.344	125.777	155.622	131.654	174.634	54.523	114.914	92.222	98.935	191.115	119.218	95.396	77.311	ENSG00000176102.13
CT45A1	0.0	4.679	0.0	0.0	0.0	0.0	119.973	0.0	0.0	0.0	0.0	0.0	0.0	ENSG00000268940.5
CT45A10	0.0	21.434	0.0	0.0	0.0	0.0	74.32	0.0	0.0	0.647	0.0	0.0	0.0	ENSG00000269586.7
CT62	0.0	0.185	2.935	0.0	0.0	0.0	0.0	0.803	1.818	0.573	0.51	0.0	0.0	
CTAG2	0.0	0.0	0.0	0.0	0.0	0.0	46.166	0.0	0.0	0.0	0.0	2.653	0.0	ENSG00000126890.13
CTAGE5	30.854	33.787	28.572	25.948	36.96	19.904	24.257	27.638	18.463	28.213	37.083	29.096	31.461	
CTAGE7P	2.129	5.175	1.557	4.993	6.839	14.237	1.076	9.501	9.219	4.299	2.361	5.478	7.622	
CTAGE9	0.049	1.652	0.391	0.532	0.81	0.71	0.183	1.29	0.251	0.237	1.339	0.182	2.77	ENSG00000236761.6
CTB-113P19.1	5.328	3.064	1.564	3.203	3.976	0.271	1.593	1.729	2.518	2.538	1.413	3.074	2.724	
CTB-7E3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.624	0.0	0.0	0.0	
CTBP1	65.301	71.967	71.358	92.634	128.812	46.759	54.554	26.179	84.218	50.559	116.047	44.582	78.298	ENSG00000159692.16
CTBP1-AS	0.633	3.863	2.637	31.357	8.293	31.306	0.592	2.322	17.607	3.231	27.09	16.072	37.745	
CTBP1-AS2	13.074	30.244	19.022	32.394	29.41	29.204	8.052	11.158	22.37	16.36	45.378	23.906	33.261	
CTBP2	38.265	32.148	40.025	52.32	30.245	75.443	15.921	54.467	39.66	33.502	26.605	53.02	95.509	ENSG00000175029.17
CTBS	16.367	93.971	93.764	29.626	20.489	13.585	18.314	28.713	43.791	43.23	56.978	50.391	53.585	ENSG00000117151.13
CTC1	7.449	10.695	7.904	4.72	18.541	9.356	11.29	6.141	11.73	12.71	14.148	5.91	7.28	ENSG00000178971.16
CTC-338M12.4	4.27	5.124	6.176	7.441	10.874	8.07	5.006	13.055	9.982	9.682	11.244	9.151	9.735	
CTCF	72.401	77.919	75.658	48.234	74.834	52.044	66.971	43.054	82.174	74.705	69.552	57.826	62.098	ENSG00000102974.16
CTCFL	0.0	0.0	0.0	0.0	0.0	0.0	2.878	0.0	0.195	0.0	0.0	0.0	0.07	ENSG00000124092.12
CTD-2151A2.1	36.96	0.0	0.0	0.0	0.0	0.0	9.52	0.0	0.0	0.0	0.0	0.0	0.158	
CTD-2201I18.1	0.835	0.0	1.848	0.314	0.638	0.0	0.346	1.742	1.783	11.078	4.734	2.404	0.481	
CTDNEP1	90.152	155.175	66.669	97.351	96.182	101.318	113.517	65.465	82.103	97.702	154.587	107.168	78.982	ENSG00000175826.12
CTDP1	2.618	2.605	3.909	4.722	2.715	0.619	0.347	2.304	2.109	4.04	3.034	3.34	3.07	ENSG00000060069.17
CTDSP1	25.764	21.209	44.687	62.208	53.254	15.439	7.589	30.229	51.594	36.933	54.03	62.669	52.636	ENSG00000144579.8
CTDSP2	54.698	63.692	97.609	69.179	92.974	68.863	44.066	73.173	100.48	103.189	94.559	69.863	134.985	ENSG00000175215.11
CTDSPL	52.97	42.398	34.803	90.36	49.112	48.321	15.896	40.501	68.235	80.523	93.189	42.528	259.264	ENSG00000144677.15
CTDSPL2	27.789	92.151	25.578	30.57	34.597	29.054	37.031	17.477	36.85	49.607	27.179	36.697	44.016	ENSG00000137770.14
CTF1	1.907	6.16	0.752	0.966	1.526	0.979	0.296	1.64	3.233	21.522	0.567	4.386	0.73	ENSG00000150281.7
CTGF	72.267	265.942	101.866	32.849	17.2	40.102	22.505	3.676	64.712	19.631	7.651	87.801	48.475	
CTGLF12P	0.0	0.0	5.341	0.569	4.954	0.372	0.112	1.805	0.307	2.804	13.095	2.219	3.664	
CTH	6.845	11.97	3.622	16.416	9.408	3.344	5.258	4.171	7.826	2.126	8.611	12.716	2.142	ENSG00000116761.12
CTHRC1	34.907	98.21	40.227	24.745	16.114	12.593	87.576	11.858	17.625	35.758	12.316	5.235	9.295	ENSG00000164932.13
CTIF	9.858	16.587	8.586	17.196	8.205	2.771	4.276	3.48	5.421	7.697	6.103	8.099	3.8	ENSG00000134030.14
CTLA4	0.328	7.639	0.416	0.0	0.18	0.405	0.0	0.0	0.335	0.527	0.564	0.242	0.302	ENSG00000163599.17
CTNNA1	147.575	143.755	165.049	228.56	148.798	287.007	83.69	148.803	175.733	269.185	334.083	187.184	194.249	ENSG00000044115.21
CTNNA2	0.0	0.133	0.123	1.011	0.071	0.587	20.415	0.482	0.066	10.48	3.963	4.512	0.682	ENSG00000066032.18
CTNNA3	0.182	0.0	0.015	0.104	0.423	0.0	2.776	0.072	0.0	0.016	0.042	0.131	0.033	ENSG00000183230.17
CTNNAL1	64.476	68.026	34.365	51.88	48.11	67.289	22.344	28.905	19.594	65.299	24.99	53.957	97.658	ENSG00000119326.15
CTNNB1	192.535	224.861	352.014	232.078	130.316	114.893	115.245	129.511	176.09	231.874	293.455	185.136	198.258	ENSG00000168036.18
CTNNBIP1	27.712	20.996	33.51	26.721	18.617	11.586	8.567	9.41	23.464	42.219	42.293	15.055	15.693	ENSG00000178585.15
CTNNBL1	17.931	48.989	17.129	12.762	29.161	18.68	31.789	27.607	21.713	26.356	28.552	14.892	14.922	ENSG00000132792.19
CTNND1	4.085	5.826	19.056	6.461	10.434	6.411	0.462	6.146	6.476	8.516	10.854	6.765	8.131	ENSG00000198561.15
CTNND2	20.169	1.401	19.532	33.466	4.523	55.64	52.829	2.692	9.21	18.761	49.434	26.917	4.487	ENSG00000169862.19
CTNS	10.93	8.097	10.442	9.563	9.056	13.023	4.847	4.566	17.279	6.711	17.093	7.213	4.273	ENSG00000040531.16
CTPS1	41.716	19.4	27.347	32.004	31.936	22.713	34.935	13.783	30.999	48.627	27.637	32.61	18.996	ENSG00000171793.16
CTPS2	21.779	21.956	17.412	30.107	37.498	13.986	13.951	19.287	52.453	58.859	54.954	15.624	49.886	ENSG00000047230.15
CTR9	51.119	59.986	62.51	65.966	43.861	50.13	75.069	32.299	30.657	70.434	65.374	57.044	62.658	ENSG00000198730.9
CTRB2	0.0	0.0	0.515	0.0	0.0	0.0	0.0	0.313	0.0	0.0	0.0	0.0	0.0	ENSG00000168928.13
CTSA	286.432	176.935	125.19	214.145	103.38	81.782	154.825	62.201	92.312	83.154	150.486	198.295	72.426	ENSG00000064601.20
CTSB	301.01	660.363	117.395	155.06	93.934	33.599	100.025	56.236	108.588	86.344	92.727	81.281	57.152	ENSG00000164733.22
CTSC	5.307	75.791	7.017	8.078	9.345	1.51	17.021	1.984	2.889	5.425	4.535	13.819	5.283	ENSG00000109861.17
CTSD	520.585	421.204	468.02	281.595	249.413	71.968	46.95	114.971	358.453	235.625	332.218	196.792	126.103	ENSG00000117984.15
CTSE	0.804	2.232	1.187	0.544	0.0	0.356	0.0	0.0	0.0	5.181	0.082	5.661	0.0	ENSG00000196188.12
CTSF	58.091	10.134	20.356	26.226	62.619	51.466	6.935	28.198	98.327	81.453	69.812	50.861	37.587	ENSG00000174080.12
CTSG	0.0	0.0	0.246	1.922	7.827	3.863	0.59	0.0	0.796	20.379	0.0	5.984	1.089	ENSG00000100448.4
CTSH	194.231	141.05	177.84	90.493	193.855	62.064	9.581	96.497	104.137	106.298	121.802	138.964	129.012	ENSG00000103811.18
CTSK	5.348	116.091	47.103	78.151	559.286	13.68	5.516	468.105	38.857	23.905	193.148	17.848	198.95	ENSG00000143387.14
CTSL	95.116	282.476	86.658	242.972	122.527	59.529	65.054	45.701	80.369	98.712	122.553	60.832	109.792	ENSG00000135047.16
CTSO	18.044	66.429	26.899	28.436	32.658	19.277	6.014	30.943	14.955	18.01	43.704	25.933	23.798	ENSG00000256043.4
CTSS	65.477	265.919	31.165	68.159	35.588	2.483	10.327	3.707	16.467	27.839	20.008	46.36	21.298	ENSG00000163131.11
CTSV	13.782	1.876	0.0	0.727	6.567	2.059	3.3	3.22	1.724	24.383	1.507	2.254	0.928	ENSG00000136943.11
CTSW	1.377	11.197	2.322	3.279	1.739	0.0	0.0	0.992	6.154	8.44	1.806	4.396	2.424	ENSG00000172543.8
CTSZ	38.616	92.118	27.715	44.613	52.447	20.15	20.108	17.604	53.753	26.598	23.704	26.275	17.841	ENSG00000101160.14
CTTN	119.903	70.537	113.24	164.727	71.044	131.072	44.963	62.555	238.339	105.904	146.434	134.843	90.554	ENSG00000085733.16
CTTNBP2	2.876	2.052	1.041	1.57	2.794	0.506	21.351	0.8	0.627	1.151	9.076	0.98	3.536	ENSG00000077063.11
CTTNBP2NL	31.958	82.915	68.365	69.358	124.764	68.713	57.786	13.028	30.844	49.351	77.2	52.092	48.451	ENSG00000143079.15
CTU2	4.354	1.185	7.844	2.683	5.241	0.785	15.92	3.583	7.582	5.391	2.62	4.313	3.159	ENSG00000174177.13
CTXN1	0.982	1.126	1.366	3.231	0.299	0.223	2.026	0.0	0.276	3.825	4.03	7.859	0.375	ENSG00000178531.6
CUBN	0.13	1.296	4.706	2.185	1.844	0.395	2.723	0.469	0.825	1.005	4.014	0.607	0.681	ENSG00000107611.16
CUEDC1	2.869	1.664	3.911	1.534	3.45	0.507	1.026	2.065	4.008	10.532	6.209	2.872	1.798	ENSG00000180891.13
CUEDC2	83.24	20.1	40.901	62.773	23.244	22.764	15.118	36.647	50.18	38.333	30.706	33.061	66.426	ENSG00000107874.11
CUL1	61.11	121.798	34.011	58.616	65.043	102.899	163.213	47.943	70.033	93.174	102.818	57.467	59.327	ENSG00000055130.17
CUL2	26.09	35.055	24.03	15.13	17.0	17.524	22.795	11.394	25.409	39.646	32.492	27.265	23.627	ENSG00000108094.16
CUL3	33.532	54.085	32.211	37.888	30.543	14.154	58.507	30.385	28.585	49.785	51.322	42.99	53.66	ENSG00000036257.13
CUL4A	44.984	51.829	74.386	45.604	98.986	58.458	51.524	31.442	67.271	28.789	82.416	64.48	57.474	ENSG00000139842.15
CUL4B	48.558	64.175	60.509	54.271	40.658	67.519	51.474	25.869	99.193	71.866	66.771	46.111	65.625	ENSG00000158290.18
CUL5	13.581	37.836	36.308	22.608	26.633	14.713	19.281	23.584	23.798	31.624	32.887	36.906	34.537	ENSG00000166266.14
CUL7	6.301	17.323	16.586	25.349	26.222	14.737	4.047	4.641	39.217	14.689	30.356	17.585	17.474	ENSG00000044090.10
CUL9	3.15	8.547	5.49	8.656	18.794	7.402	4.418	4.646	12.807	15.255	16.512	5.405	8.789	ENSG00000112659.14
CUTA	94.38	36.951	66.47	104.008	120.33	76.368	75.824	60.246	68.821	91.633	117.498	98.643	57.047	ENSG00000112514.18
CUTC	51.097	41.56	23.4	43.797	16.066	29.676	32.131	44.173	35.226	19.202	27.865	17.258	34.282	ENSG00000119929.13
CUX1	39.574	28.922	24.874	34.145	60.115	31.636	40.256	36.808	29.503	39.882	44.955	39.368	30.16	ENSG00000257923.12
CUX2	5.135	4.752	25.928	54.999	15.53	62.246	1.019	17.097	3.452	0.457	71.582	57.128	6.489	ENSG00000111249.14
CWC15	93.778	87.973	120.242	111.29	67.899	116.651	105.272	80.669	84.131	149.498	126.837	112.369	92.599	ENSG00000150316.12
CWC22	17.546	40.796	18.714	20.315	27.246	23.261	42.87	29.624	21.911	18.755	21.783	36.356	31.793	ENSG00000163510.14
CWC25	13.39	14.744	9.211	10.597	20.671	6.397	9.314	7.29	13.056	14.659	14.355	9.131	11.783	ENSG00000273559.5
CWC27	24.615	27.782	19.912	36.112	32.992	32.96	73.639	16.518	27.824	20.091	22.488	31.576	42.074	ENSG00000153015.16
CWF19L1	6.486	11.938	6.591	10.385	4.527	8.364	14.114	11.388	27.353	6.069	5.609	3.654	9.86	ENSG00000095485.18
CWF19L2	25.201	66.257	28.525	43.047	79.858	36.934	43.224	50.917	38.174	46.091	45.421	40.947	81.997	ENSG00000152404.15
CWH43	21.009	221.552	742.42	231.477	15.683	26.376	0.0	29.484	1.609	14.574	96.713	42.908	271.365	ENSG00000109182.12
CX3CL1	15.044	5.437	0.299	4.266	10.309	13.815	13.414	0.141	5.194	2.482	1.941	1.388	3.282	ENSG00000006210.7
CX3CR1	2.937	4.906	1.189	3.668	2.698	0.771	0.504	1.015	5.037	4.427	16.892	3.968	3.664	ENSG00000168329.14
CXADR	44.439	68.713	102.364	45.769	35.921	32.043	29.754	30.296	48.515	95.2	111.275	29.529	51.211	ENSG00000154639.19
CXADRP2	0.0	0.064	0.04	0.034	0.068	0.567	0.0	0.0	0.0	0.04	0.072	0.0	1.088	
CXADRP3	0.082	0.852	1.17	0.111	0.0	1.185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CXCL1	9.585	11.445	0.912	0.314	3.197	3.809	0.0	0.219	0.884	1.301	2.817	0.285	0.267	ENSG00000163739.5
CXCL10	13.127	143.28	3.21	1.382	2.186	6.048	1.906	0.856	0.864	7.993	3.239	11.274	3.133	ENSG00000169245.6
CXCL11	0.498	72.056	1.439	0.784	0.0	2.044	0.0	0.0	0.633	10.236	1.777	1.425	0.857	ENSG00000169248.13
CXCL12	28.024	44.351	16.801	5.991	16.587	0.143	16.214	1.338	8.524	25.024	4.776	57.103	26.293	ENSG00000107562.16
CXCL13	0.692	47.579	0.36	0.155	0.316	0.0	0.0	0.216	84.657	0.734	0.491	0.0	0.264	ENSG00000156234.7
CXCL14	18.715	14.275	3.226	60.312	55.21	1.488	2.202	6.41	21.451	37.48	20.695	0.888	23.112	ENSG00000145824.13
CXCL16	73.621	93.514	54.564	37.857	59.11	27.999	15.986	26.341	71.002	78.585	66.359	47.504	19.815	ENSG00000161921.17
CXCL17	145.08	73.853	4.609	0.236	0.0	0.0	0.0	0.661	0.439	320.872	0.248	0.639	0.0	ENSG00000189377.9
CXCL2	21.389	9.534	0.903	0.155	2.846	4.239	0.214	2.816	0.291	2.759	1.968	1.691	0.661	ENSG00000081041.9
CXCL8	8.888	3.797	2.075	0.104	0.0	3.653	0.431	0.58	0.787	0.372	0.884	0.095	0.0	ENSG00000169429.11
CXCL9	2.557	1606.946	0.519	3.278	1.024	13.663	5.464	1.572	9.895	7.806	5.549	12.683	1.769	ENSG00000138755.6
CXCR1	0.0	0.396	0.162	0.138	0.561	0.0	0.0	0.287	0.0	2.22	0.22	0.0	0.176	ENSG00000163464.8
CXCR2	0.0	1.987	1.223	0.52	0.234	0.0	0.238	0.24	0.983	4.952	0.735	0.684	0.049	ENSG00000180871.8
CXCR2P1	1.624	11.216	1.91	2.606	1.323	0.372	0.336	0.678	5.996	1.743	4.055	4.222	0.415	
CXCR3	0.349	16.066	0.773	0.566	0.958	1.58	0.0	0.131	2.846	3.587	1.099	2.316	1.203	ENSG00000186810.8
